absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members,all_keywords,absolute_keywords,weighted_keywords,general_theme_gpt,general_theme_names,absolute_theme_gpt,absolute_theme_names,weighted_theme_gpt,weighted_theme_names
2,5,"['maga', 'travelban', 'trump', 'lgbt', 'islam', 'muslimban', 'tcot', 'marinelepen', 'judge', 'vote', 'read', 'france', 'americafirst']",48,6,"['refugeeswelcome', 'stopislamofobia', 'migrantenkriminalitat', 'prouracisme']",1,"['maga_pjnet', 'flaw_aloha', 'aloha', 'logic', 'pjnet', 'american']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[50644095, 96442308, 2188423838, 835985752584441856]","maga,travelban,trump,lgbt,islam,muslimban,tcot,marinelepen,judge,vote,read,france,americafirst,maga_pjnet,flaw_aloha,aloha,logic,pjnet,american,refugeeswelcome,stopislamofobia,migrantenkriminalitat,prouracisme,ban,travel,executive_order,order,revise,federal_judge,hawaii,president,trumps,block,immigration,sign","maga,travelban,trump,lgbt,islam,muslimban,tcot,marinelepen,judge,vote,read,france,americafirst,maga_pjnet,flaw_aloha,aloha,logic,pjnet,american","refugeeswelcome,stopislamofobia,migrantenkriminalitat,prouracisme,ban,travel,trump,executive_order,order,judge,revise,federal_judge,hawaii,president,trumps,block,immigration,sign","{'US Politics and Immigration Policies': ['maga', 'travelban', 'trump', 'muslimban', 'americafirst', 'executive_order', 'order', 'immigration', 'sign', 'block', 'federal_judge', 'judge', 'president', 'trumps', 'ban', 'travel', 'revise'], 'Social and Cultural Issues': ['lgbt', 'islam', 'refugeeswelcome', 'stopislamofobia', 'migrantenkriminalitat', 'prouracisme'], 'International Politics': ['marinelepen', 'france'], 'American Political Movements': ['tcot', 'maga_pjnet', 'pjnet', 'american'], 'Legal and Judicial Actions': ['judge', 'federal_judge', 'block', 'order'], 'Hawaii and Legal Challenges': ['hawaii', 'flaw_aloha', 'aloha']}",US Politics and Immigration Policies.Social and Cultural Issues.International Politics.American Political Movements.Legal and Judicial Actions.Hawaii and Legal Challenges,"{'US Politics and Policies': ['maga', 'travelban', 'trump', 'muslimban', 'americafirst', 'maga_pjnet', 'pjnet', 'american'], 'Social Issues': ['lgbt', 'islam'], 'International Politics': ['marinelepen', 'france'], 'Judiciary and Legal': ['judge', 'vote'], 'Miscellaneous': ['tcot', 'read', 'flaw_aloha', 'aloha', 'logic']}",US Politics and Policies.Social Issues.International Politics.Judiciary and Legal.Miscellaneous,"{'Immigration and Refugee Policies': ['refugeeswelcome', 'stopislamofobia', 'migrantenkriminalitat', 'prouracisme', 'ban', 'travel', 'immigration'], ""Trump's Executive Orders on Immigration"": ['trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'sign']}",Immigration and Refugee Policies.Trump's Executive Orders on Immigration
3,2,"['ban', 'muslim', 'muslimban', 'trump', 'court']",11,13,"['muslimban', 'trump', 'resist', 'trumprussia', 'ban', 'russiagate', 'theresistance', 'muslim', 'travel', 'break', 'trumps', 'april']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",13,"['muslimban', 'muslim', 'country', 'ban', 'ben_carson']","[29442313, 216776631, 485958942]","ban,muslim,muslimban,trump,court,president,resist,trumprussia,russiagate,theresistance,travel,break,trumps,april,country,ben_carson","ban,muslim,muslimban,trump,court,president","muslimban,trump,resist,trumprussia,ban,russiagate,theresistance,muslim,travel,break,trumps,april,country,ben_carson","{'Travel Ban Controversy': ['ban', 'muslim', 'muslimban', 'trump', 'court', 'president', 'travel', 'country'], 'Political Resistance and Scandals': ['resist', 'trumprussia', 'russiagate', 'theresistance', 'break', 'trumps', 'april', 'ben_carson']}",Travel Ban Controversy.Political Resistance and Scandals,"{'Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, president'}",Travel Ban Controversy,"{'Political Resistance and Controversies': 'muslimban, trump, resist, trumprussia, ban, russiagate, theresistance, muslim, travel, break, trumps, april, country, ben_carson'}",Political Resistance and Controversies
8,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",13,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[6392972, 18910693, 49047411, 110396781, 937875895, 2495386515, 2806325167, 2930574973, 3713258776, 783134630669148161]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge', 'sign']}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
10,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",15,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[478855762, 2903166449, 4040707780, 799609981121138690]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge', 'sign']}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
14,2,"['ban', 'muslim', 'muslimban', 'trump', 'court']",17,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[629565974, 1146358172, 2922305530, 821136198798340097]","ban,muslim,muslimban,trump,court,president,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","ban,muslim,muslimban,trump,court,president","ban,trump,muslimban,muslim,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","{'US Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, president, nobannowall, travel, refugee, travelban, judge_robart, executive_order, judge'}",US Travel Ban Controversy,"{'Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, president'}",Travel Ban Controversy,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy
16,2,"['ban', 'muslim', 'muslimban', 'trump', 'court']",46,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[17642747, 2617327641, 839574081854931000]","ban,muslim,muslimban,trump,court,president,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","ban,muslim,muslimban,trump,court,president","ban,trump,muslimban,muslim,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","{'US Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, president, nobannowall, travel, refugee, travelban, judge_robart, executive_order, judge'}",US Travel Ban Controversy,"{'Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, president'}",Travel Ban Controversy,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy
17,2,"['ban', 'muslim', 'muslimban', 'trump', 'court']",32,2,"['muslimban', 'muslim', 'country', 'ban', 'trump', 'muslims', 'islam', 'america', 'terrorist', 'travel']",13,"['muslimban', 'muslim', 'country', 'ben_carson', 'islam']",2,"['travelban', 'maga', 'refugee', 'tcot', 'muslimban', 'islam', 'americafirst']","[3089155533, 704041886089084900, 823677081422688256]","ban,muslim,muslimban,trump,court,country,ben_carson,islam,muslims,america,terrorist,travel,travelban,maga,refugee,tcot,americafirst","ban,muslim,muslimban,trump,court,country,ben_carson,islam","muslimban,muslim,country,ban,trump,muslims,islam,america,terrorist,travel,travelban,maga,refugee,tcot,americafirst","{'US Travel Ban on Muslim-majority Countries': ['ban', 'muslim', 'muslimban', 'trump', 'court', 'country', 'islam', 'muslims', 'america', 'terrorist', 'travel', 'travelban', 'refugee'], 'Political and Social Reactions in America': ['ben_carson', 'maga', 'tcot', 'americafirst']}",US Travel Ban on Muslim-majority Countries.Political and Social Reactions in America,"{'US Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, country, islam', 'Political Figures': 'trump, ben_carson'}",US Travel Ban Controversy.Political Figures,"{'US Immigration Policy': 'muslimban, country, ban, trump, travel, travelban, maga, america, americafirst', 'Religious and Ethnic Tensions': 'muslim, muslims, islam, terrorist', 'Political and Social Movements': 'refugee, tcot'}",US Immigration Policy.Religious and Ethnic Tensions.Political and Social Movements
19,6,"['ban', 'trump', 'travel', 'muslimban', 'muslim', 'lose', 'country', 'trumps', 'terror', 'terrorist']",18,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",4,"['ban', 'trump', 'travel', 'muslimban', 'lose', 'muslim', 'terror_threat', 'trumps', 'country', 'exclude_country']",10,"['muslimban', 'trump', 'trumprussia', 'resist', 'ban', 'russiagate', 'theresistance', 'muslim', 'travel', 'april_speech', 'break', 'trumps', 'todays_hashtag', 'april']","[15155181, 22165261, 32298202, 152570227]","ban,trump,travel,muslimban,muslim,lose,country,trumps,terror,terrorist,terror_threat,exclude_country,nobannowall,refugee,trumprussia,resist,russiagate,theresistance,april_speech,break,todays_hashtag,april","ban,trump,travel,muslimban,muslim,lose,country,trumps,terror,terrorist,terror_threat,exclude_country","ban,trump,muslimban,muslim,nobannowall,travel,refugee,trumprussia,resist,russiagate,theresistance,april_speech,break,trumps,todays_hashtag,april","{'Travel Ban': ['ban', 'travel', 'muslimban', 'muslim', 'exclude_country', 'nobannowall', 'refugee'], 'Trump and Controversies': ['trump', 'trumps', 'trumprussia', 'russiagate', 'theresistance', 'resist'], 'Terrorism and Security': ['terror', 'terrorist', 'terror_threat'], 'Political Events and Reactions': ['lose', 'country', 'april_speech', 'break', 'todays_hashtag', 'april']}",Travel Ban.Trump and Controversies.Terrorism and Security.Political Events and Reactions,"{'Travel Ban': 'ban, travel, muslimban, exclude_country', 'Trump Administration': 'trump, trumps', 'National Security Concerns': 'terror, terrorist, terror_threat', 'Impact on Muslim Communities': 'muslim, lose, country'}",Travel Ban.Trump Administration.National Security Concerns.Impact on Muslim Communities,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee'], 'Trump-Russia Investigation': ['trumprussia', 'resist', 'russiagate', 'theresistance'], 'April Events and Discussions': ['april_speech', 'break', 'trumps', 'todays_hashtag', 'april']}",US Travel Ban Controversy.Trump-Russia Investigation.April Events and Discussions
20,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",20,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[420075825, 2799538857, 797080559839309800, 834520434318139400]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,muslimban,muslim,nobannowall,refugee,travelban,judge_robart,executive_order","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,muslimban,muslim","ban,trump,muslimban,muslim,nobannowall,travel,refugee,travelban,judge_robart,executive_order,judge","{'US Immigration Policy Controversy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'muslimban', 'muslim', 'nobannowall', 'refugee', 'travelban', 'judge_robart', 'executive_order']}",US Immigration Policy Controversy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'muslimban', 'muslim']}",US Immigration Policy,"{'US Travel Ban Controversy': ['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee', 'travelban', 'judge_robart', 'executive_order', 'judge']}",US Travel Ban Controversy
22,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",22,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[608471241, 2984330300, 775199416470818817]","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money,sign","ban,travel,trump,order,revise,judge,trumps,hawaii,president,block,immigration,executive_order,radio_live,federal_judge,stock_money","ban,travel,trump,revise,order,judge,president,hawaii,trumps,block,executive_order,federal_judge,immigration,sign","{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge', 'sign']}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration', 'executive_order', 'federal_judge'], 'Media and Finance': ['radio_live', 'stock_money']}",US Immigration Policy.Media and Finance,"{'Travel Ban': 'ban, travel, trump, revise, order, judge, president, hawaii, trumps, block, executive_order, federal_judge, immigration, sign'}",Travel Ban
