cluster_id,cluster_size,representative_theme,themes,month,total_community,community_list,theme_keywords
12,53,US Immigration Policy,"['US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'Controversial Immigration Policies', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy']",march,53,"[8, 10, 20, 22, 23, 24, 25, 27, 28, 29, 30, 36, 39, 42, 45, 46, 47, 48, 49, 52, 56, 57, 59, 60, 63, 64, 66, 67, 71, 76, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 94, 95, 96, 98, 100, 101, 103, 104, 106, 107, 109, 110]","{'US Immigration Policy': 'ban, travel, trump, order, revise, judge, trumps, hawaii, president, block, immigration, executive_order, federal_judge', 'Controversial Immigration Policies': 'travelban, muslimban, ban, islam, muslim'}"
0,41,Media and Finance,"['Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance', 'Media and Finance']",march,41,"[8, 10, 22, 23, 24, 27, 30, 36, 39, 45, 46, 47, 48, 52, 56, 57, 59, 63, 64, 66, 67, 71, 76, 79, 80, 82, 83, 84, 86, 87, 88, 89, 95, 96, 100, 101, 103, 106, 107, 109, 110]","{'Media and Finance': 'radio_live, stock_money'}"
4,14,Travel Ban Controversy,"['Travel Ban Controversy', 'Travel Ban Controversy', 'Travel Ban Controversy', 'US Travel Ban Controversy', 'Travel Ban', 'Travel Ban Controversy', 'Travel Ban Controversy', 'Travel Ban Controversy', 'Travel Ban Controversy', 'Travel Ban Controversy', 'Travel Ban Controversy', 'Travel Ban Controversy', 'Travel Ban Controversy', 'Travel Ban Controversy']",march,14,"[3, 14, 16, 17, 19, 38, 41, 58, 61, 62, 74, 78, 92, 108]","{'Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, president', 'US Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, country, islam', 'Travel Ban': 'ban, travel, muslimban, exclude_country'}"
9,7,Immigration and Anti-Discrimination Protests,"['Immigration and Anti-Discrimination Protests', 'Immigration and Anti-Discrimination Protests', 'Immigration and Anti-Discrimination Protests', 'Immigration and Anti-Discrimination Protests', 'Immigration and Anti-Discrimination Protests', 'Immigration and Anti-Discrimination Protests', 'Immigration and Anti-Discrimination Protests']",march,7,"[26, 50, 65, 75, 90, 99, 102]","{'Immigration and Anti-Discrimination Protests': 'nobannowall, muslimban, bigotry, noban, riseup, remember, immigration, immigrant, stand, ban, muslim, trump, president'}"
6,6,LGBT and Social Issues,"['Social Issues', 'Social Issues and Discrimination', 'LGBT and Islam', 'LGBT and Social Issues', 'Social Issues and Discrimination', 'LGBT and Islam']",march,6,"[2, 33, 54, 60, 91, 97]","{'Social Issues': 'lgbt, islam', 'Social Issues and Discrimination': 'stopislamofobia, woman, migrantenkriminalitat', 'LGBT and Islam': 'lgbt, islam, stopislamofobia', 'LGBT and Social Issues': 'lgbt'}"
8,6,Immigration and Refugee Policies,"['Immigration and Refugee Policies', 'Immigration and Refugee Policies', 'Immigration and Refugee Policies', 'Immigration and Refugee Policies', 'Immigration and Refugee Policies', 'Immigration and Refugee Policies']",march,6,"[33, 44, 69, 72, 91, 105]","{'Immigration and Refugee Policies': 'refugeeswelcome, travelban, refugee, immigrant, immigration, muslimban, enter_country, bordersclose'}"
5,6,Anti-Islam Sentiment and Islamophobia,"['Anti-Islam Sentiment and Islamophobia', 'Anti-Islam Sentiment and Political Movements', 'Anti-Islam Sentiment', 'Anti-Islam Sentiment and Islamophobia', 'Anti-Islam Sentiment and Islamophobia', 'Anti-Islam Sentiment and Islamophobia']",march,6,"[44, 55, 68, 69, 72, 105]","{'Anti-Islam Sentiment and Islamophobia': 'stopislamofobia, islam, muslimban', 'Anti-Islam Sentiment and Political Movements': 'muslimban, pvv, bordersclose, geertwilders, stempvv, nexit, attention, mega, bluehand, prevail, afd, stopislam, survive, muslim, country, ben_carson, islam', 'Anti-Islam Sentiment': 'stopislam, stopislamofobia, islam'}"
7,5,Nationalism and Political Movements,"['Nationalism and Political Movements', 'Immigration and Nationalism', 'Nationalism and Political Movements', 'Nationalism and Political Movements', 'Nationalism and Political Movements']",march,5,"[44, 68, 69, 72, 105]","{'Nationalism and Political Movements': 'nation, constitution, maga, trump, pvv, tcot', 'Immigration and Nationalism': 'muslimban, pvv, bordersclose, geertwilders, stempvv, nexit, travelban, refugeeswelcome, refugee, enter_country, country'}"
2,4,Judiciary and Voting,"['Judiciary and Legal', 'Judiciary and Voting', 'Judiciary and Legal Matters', 'Judiciary and Voting']",march,4,"[2, 54, 60, 97]","{'Judiciary and Legal': 'judge, vote', 'Judiciary and Voting': 'judge, vote', 'Judiciary and Legal Matters': 'judge'}"
3,4,Gender and Migration,"['Gender and Migration', 'Gender and Migration', 'Gender and Migration', 'Gender and Migration']",march,4,"[44, 69, 72, 105]","{'Gender and Migration': 'woman, migrantenkriminalitat'}"
1,3,Conservative Online Community,"['Conservative Online Community', 'Conservative Online Community', 'Conservative Online Community']",march,3,"[54, 60, 97]","{'Conservative Online Community': 'tcot, country, read'}"
10,2,US Politics and Policies,"['US Politics and Policies', 'US Politics and Policies']",march,2,"[2, 60]","{'US Politics and Policies': 'maga, trump, americafirst, president, vote'}"
11,2,US Politics and Immigration,"['US Politics and Immigration', 'US Politics and Immigration']",march,2,"[54, 97]","{'US Politics and Immigration': 'maga, travelban, trump, muslimban, americafirst, refugeeswelcome, refugee, enter_country, bordersclose'}"
