cluster_id,cluster_size,representative_theme,themes,month,total_community,community_list,theme_keywords
12,38,US Immigration Policy and Legal Challenges,"['US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges']",february,38,"[18, 43, 44, 56, 63, 72, 73, 102, 103, 104, 105, 108, 113, 118, 123, 125, 128, 134, 137, 140, 144, 145, 146, 149, 155, 165, 167, 175, 178, 181, 183, 190, 192, 193, 195, 205, 211, 221]","{'US Immigration Policy and Legal Challenges': 'ban, travel, trump, immigration, order, trumps, court, judge, president, appeal, federal, rule, halt'}"
16,33,US Immigration Policy,"['US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy']",february,51,"[10, 23, 24, 30, 31, 34, 35, 46, 49, 52, 53, 62, 66, 68, 77, 88, 93, 95, 96, 101, 107, 112, 114, 115, 122, 127, 135, 136, 138, 141, 147, 148, 153, 161, 169, 170, 172, 174, 177, 185, 189, 191, 194, 196, 197, 204, 206, 212, 213, 215, 219]","{'US Immigration Policy': 'muslimban, trump, muslim, ban, nobannowall, refugee, refugeeswelcome, law, thcircuit, stand'}"
17,27,US Travel Ban Controversy,"['US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy']",february,32,"[29, 40, 48, 59, 60, 81, 83, 87, 90, 110, 111, 120, 126, 129, 130, 132, 133, 139, 143, 154, 160, 166, 182, 199, 200, 202, 207, 210, 216, 217, 220, 223]","{'US Travel Ban Controversy': 'ban, travel, trump, immigration, order, trumps, court, judge, president, appeal, federal, rule, donald, muslim, white_house'}"
14,24,US Immigration Policy Controversy,"['US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy']",february,24,"[17, 42, 69, 74, 78, 79, 89, 94, 117, 119, 124, 131, 142, 156, 162, 163, 173, 180, 187, 188, 203, 208, 214, 218]","{'US Immigration Policy Controversy': 'muslimban, trump, muslim, ban, nobannowall, refugee, refugeeswelcome, law, thcircuit, stand, travel, trumps, donald, court, immigration, president, order, judge, white_house, appeal, federal'}"
3,22,Trump Administration,"['Trump Presidency', 'Trump Administration', 'Trump Administration', 'Trump Administration', 'Trump Administration', 'Trump Administration', 'Trump Administration', 'Trump Administration', 'Trump Administration', 'Trump Administration', 'US Politics', 'Trump Administration', 'US Presidents and Policies', 'Trump Administration', 'Trump Administration', 'Trump Administration', 'Trump Administration', 'US Politics', 'Trump Administration', 'Trump Administration', 'Trump Administration', 'Trump Administration']",february,22,"[3, 10, 39, 50, 51, 65, 75, 76, 85, 86, 95, 97, 109, 121, 152, 159, 164, 169, 176, 184, 186, 201]","{'Trump Presidency': 'trump, mypresident, mypresident_maga', 'Trump Administration': 'trump, trumps, president, maga, tweet_message', 'US Politics': 'usa', 'US Presidents and Policies': 'trump, obama, country'}"
0,18,Judicial Response,"['Judicial Proceedings', 'Judicial Response', 'Judicial Response', 'Judicial Response', 'Judicial Response', 'Judicial Response', 'Judicial Response', 'Judicial Response', 'Judicial Response', 'Judicial Response', 'Judicial Response', 'Judicial Response', 'Judicial Response', 'Judicial Response', 'Judicial Response', 'Judicial Response', 'Judicial Response', 'Judicial Response']",february,18,"[10, 39, 50, 51, 65, 75, 76, 85, 86, 97, 121, 152, 159, 164, 176, 184, 186, 201]","{'Judicial Proceedings': 'court, judge, order, appeal, federal', 'Judicial Response': 'court, judge, appeal, federal, rule, comment_federal'}"
15,18,US Immigration Policy,"['US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy']",february,51,"[10, 23, 24, 30, 31, 34, 35, 46, 49, 52, 53, 62, 66, 68, 77, 88, 93, 95, 96, 101, 107, 112, 114, 115, 122, 127, 135, 136, 138, 141, 147, 148, 153, 161, 169, 170, 172, 174, 177, 185, 189, 191, 194, 196, 197, 204, 206, 212, 213, 215, 219]","{'US Immigration Policy': 'muslimban, trump, muslim, ban, nobannowall, refugee, refugeeswelcome, law, thcircuit, stand'}"
13,17,US Travel Ban,"['US Travel Ban', 'US Travel Ban', 'US Travel Ban', 'US Travel Ban', 'US Travel Ban', 'US Travel Ban', 'US Travel Ban', 'US Travel Ban', 'US Travel Ban', 'US Travel Ban', 'US Travel Ban', 'US Travel Ban', 'US Travel Ban', 'US Travel Ban', 'US Travel Ban', 'US Travel Ban', 'US Travel Ban']",february,17,"[39, 50, 51, 65, 75, 76, 85, 86, 97, 121, 152, 159, 164, 176, 184, 186, 201]","{'US Travel Ban': 'ban, travel, immigration, order, trumps, court, judge, president, appeal, federal, rule, muslim, country, travelban, refugee'}"
9,14,Art and Activism,"['Art and Activism', 'Art and Activism', 'Art and Activism', 'Art and Activism', 'Art and Activism', 'Art and Activism', 'Art and Activism', 'Art and Activism', 'Art and Activism', 'Art and Activism', 'Art and Activism', 'Art and Activism', 'Art and Activism', 'Art and Activism']",february,20,"[22, 46, 101, 107, 112, 115, 136, 148, 157, 170, 171, 177, 185, 196, 197, 204, 206, 213, 222, 224]",{'Art and Activism': 'art_bxlart'}
2,8,Muslim Community Impact,"['Muslim Community Impact', 'Muslim Community Impact', 'Muslim Community Impact', 'Muslim Community Impact', 'Muslim Community Impact', 'Muslim Community Impact', 'Muslim Community Impact', 'Muslim Community Impact']",february,8,"[58, 71, 80, 99, 100, 150, 168, 198]","{'Muslim Community Impact': 'muslimban, muslim, refugee'}"
