cluster_id,cluster_size,representative_theme,themes,month,total_community,community_list,theme_keywords
16,40,US Immigration Policy and Protests,"['US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests']",january,40,"[14, 20, 22, 23, 31, 32, 33, 35, 38, 40, 41, 44, 47, 50, 53, 54, 56, 58, 59, 67, 69, 70, 73, 76, 77, 78, 82, 84, 87, 93, 94, 95, 98, 99, 102, 105, 108, 123, 126, 127]","{'US Immigration Policy and Protests': 'muslimban, muslim, trump, ban, order, protest, vote, executive_order, nobannowall'}"
2,38,America's Heartland and Inclusivity,"[""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity"", ""America's Heartland and Inclusivity""]",january,38,"[14, 20, 22, 23, 31, 32, 33, 35, 38, 40, 41, 44, 47, 50, 53, 54, 58, 67, 69, 70, 73, 76, 77, 82, 84, 87, 89, 93, 94, 95, 98, 99, 102, 105, 108, 123, 126, 127]","{""America's Heartland and Inclusivity"": 'heartland, america, country, america_heartland, student', ""America's Heartland"": 'america, country, america_heartland, heartland'}"
14,27,Trump's Immigration and Travel Ban,"[""Trump's Immigration and Travel Ban"", ""Trump's Travel Ban Controversy"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban"", ""Trump's Immigration and Travel Ban""]",january,27,"[0, 4, 24, 36, 45, 49, 51, 61, 62, 64, 66, 68, 71, 79, 83, 90, 112, 114, 116, 117, 118, 119, 120, 121, 124, 131, 132]","{""Trump's Immigration and Travel Ban"": 'ban, trump, immigration, travel, trumps, donald, order, president, executive_order', ""Trump's Travel Ban Controversy"": 'muslimban, ban, muslim, travel, trumps, unconstitutional, americans_support, do_not, support, americans'}"
21,21,Refugees and Seeking Asylum,"['Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum']",january,37,"[14, 20, 22, 23, 31, 32, 33, 35, 38, 40, 41, 44, 47, 50, 53, 54, 58, 67, 69, 70, 73, 76, 77, 82, 84, 87, 93, 94, 95, 98, 99, 102, 105, 108, 123, 126, 127]","{'Refugees and Seeking Asylum': 'refuge, people, refugee, seek, seek_refuge, seek_refuge_america_heartland'}"
17,20,US Immigration Policy,"['US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration and National Security Policies', 'US Immigration Policy and Controversy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy Under Trump Administration', 'US Immigration and National Security Policies', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policies', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy']",january,20,"[15, 17, 21, 27, 34, 43, 52, 57, 63, 74, 86, 89, 92, 100, 101, 103, 106, 110, 115, 130]","{'US Immigration Policy': 'muslimban, muslim, trump, ban, america, order, protest, vote, maga', 'US Immigration and National Security Policies': 'maga, muslimban, trump, migrant, vet, terror_attack, refugee', 'US Immigration Policy and Controversy': 'muslimban, muslim, trump, ban, heartland, refuge, people, refugee, america, order, protest, vote, country, travel, trumps, immigration, president, executive_order, sally_yate, attorney_general', 'US Immigration Policy Under Trump Administration': 'muslim, ban, america, country, donald, trump, trumps, immigration, travel, dissent_memo, fire_attorney', 'US Immigration Policies': 'maga, muslimban, trump, migrant, ban, refuge, refugee, executive_order, nobannowall'}"
22,16,Refugees and Seeking Asylum,"['Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum', 'Refugees and Seeking Asylum']",january,37,"[14, 20, 22, 23, 31, 32, 33, 35, 38, 40, 41, 44, 47, 50, 53, 54, 58, 67, 69, 70, 73, 76, 77, 82, 84, 87, 93, 94, 95, 98, 99, 102, 105, 108, 123, 126, 127]","{'Refugees and Seeking Asylum': 'refuge, people, refugee, seek, seek_refuge, seek_refuge_america_heartland'}"
13,15,Controversy and Legal Challenges,"['Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges']",january,26,"[0, 24, 36, 45, 49, 51, 61, 62, 64, 66, 68, 71, 79, 83, 90, 112, 114, 116, 117, 118, 119, 120, 121, 124, 131, 132]","{'Controversy and Legal Challenges': 'fire, muslim, state, general, attorney, defend, official, sally_yate, attorney_general, protest'}"
12,11,Controversy and Legal Challenges,"['Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges', 'Controversy and Legal Challenges']",january,26,"[0, 24, 36, 45, 49, 51, 61, 62, 64, 66, 68, 71, 79, 83, 90, 112, 114, 116, 117, 118, 119, 120, 121, 124, 131, 132]","{'Controversy and Legal Challenges': 'fire, muslim, state, general, attorney, defend, official, sally_yate, attorney_general, protest'}"
0,6,Iranian Students and Visa Issues,"['Iranian Students and Visa Issues', 'Iranian Students and Visa Issues', 'Iranian Students and Visa Issues', 'Iranian Students and Visa Issues', 'Iranian Students and Visa Issues', 'Iranian Students and Visa Issues']",january,6,"[46, 81, 96, 122, 125, 129]","{'Iranian Students and Visa Issues': 'student, iranian, iranian_student, studentban, notbanstudentvisa, studentban_notbanstudentvisa, notaterrorist_studentban, studentban_plz, beautiful_mind'}"
11,6,Political and Legal Controversies,"['Political and Legal Controversies', 'Political Actions and Controversies', 'Political and Legal Controversies', 'Political and Legal Controversies', 'Political and Legal Controversies', 'Political and Legal Controversies']",january,6,"[17, 19, 21, 27, 92, 106]","{'Political and Legal Controversies': 'stock, dissent_memo, fire_attorney', 'Political Actions and Controversies': 'donald, trump, trumps, immigration, stock, travel, fire, dissent_memo, fire_attorney, muslim'}"
