cluster_id,cluster_size,representative_theme,themes,month,total_community,community_list,theme_keywords
9,78,US Immigration Policy and Public Response,"['US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response', 'US Immigration Policy and Public Response']",february,78,"[8, 14, 18, 19, 21, 26, 31, 32, 39, 45, 49, 51, 54, 55, 61, 63, 65, 66, 74, 83, 86, 88, 89, 91, 94, 95, 97, 99, 101, 102, 113, 116, 117, 119, 123, 127, 128, 130, 133, 137, 139, 142, 144, 148, 149, 150, 153, 157, 161, 163, 165, 168, 169, 172, 173, 174, 175, 181, 185, 186, 187, 192, 196, 199, 201, 202, 209, 210, 211, 212, 215, 216, 217, 218, 219, 222, 226, 229]","{'US Immigration Policy and Public Response': 'muslimban, nobannowall, trump, muslim, ban, refugee, refugeeswelcome, protest, law, people, support, congress'}"
5,52,Trump Administration Legal Challenges,"['Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Controversies', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges', 'Trump Administration Legal Challenges']",february,52,"[16, 27, 37, 38, 43, 50, 53, 58, 59, 67, 69, 71, 75, 77, 100, 103, 104, 105, 106, 109, 115, 122, 131, 134, 135, 138, 141, 146, 147, 152, 154, 160, 166, 178, 180, 183, 184, 189, 194, 195, 198, 200, 204, 205, 207, 208, 213, 214, 220, 223, 225, 228]","{'Trump Administration Legal Challenges': 'trump, trumps, president, order, court, judge, appeal, donald, federal, block, rule, legal, white_house', 'Trump Administration Controversies': 'trumprussia, dworkinreport, trumpleak, trump, flynn, impeachtrump'}"
16,31,US Immigration Policy,"['US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy']",february,51,"[16, 27, 37, 38, 43, 50, 53, 58, 59, 67, 69, 71, 75, 77, 100, 103, 104, 105, 106, 109, 115, 122, 131, 134, 135, 138, 141, 146, 147, 152, 154, 160, 166, 178, 180, 183, 184, 189, 194, 195, 198, 200, 204, 205, 207, 208, 214, 220, 223, 225, 228]","{'US Immigration Policy': 'ban, travel, immigration, trumps, president, order, court, judge, appeal, donald, federal, block, rule, legal, white_house, homeland_security'}"
15,20,US Immigration Policy,"['US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy']",february,51,"[16, 27, 37, 38, 43, 50, 53, 58, 59, 67, 69, 71, 75, 77, 100, 103, 104, 105, 106, 109, 115, 122, 131, 134, 135, 138, 141, 146, 147, 152, 154, 160, 166, 178, 180, 183, 184, 189, 194, 195, 198, 200, 204, 205, 207, 208, 214, 220, 223, 225, 228]","{'US Immigration Policy': 'ban, travel, immigration, trumps, president, order, court, judge, appeal, donald, federal, block, rule, legal, white_house, homeland_security'}"
8,16,US Immigration Policy and Protests,"['US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests']",february,16,"[42, 52, 79, 80, 93, 96, 110, 112, 118, 121, 145, 170, 179, 182, 190, 193]","{'US Immigration Policy and Protests': 'muslimban, maga, travelban, islam, usa, trump, liberal, americafirst, immigrationban, tcot, terrorist, nobannowall, refugee, muslim, ban, refugeeswelcome, protest, congress', 'Immigration Policy and Protests': 'muslimban, nobannowall, trump, muslim, ban, refugee, refugeeswelcome, protest, law, people, support, maga, americafirst, islam, usa, buildthewall, donaldtrump, tcot'}"
12,12,US Immigration Policy and Legal Challenges,"['US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy and Legal Challenges']",february,12,"[25, 78, 84, 120, 124, 125, 143, 151, 156, 176, 197, 203]","{'US Immigration Policy and Legal Challenges': 'ban, travel, trump, immigration, trumps, president, order, court, judge, appeal, donald, federal, block, rule, legal, muslim, white_house, attack'}"
11,10,US Politics and Immigration Policy,"['US Politics and Immigration Policy', 'US Politics and Immigration Policy', 'US Politics and Immigration Policy', 'US Politics and Immigration Policy', 'US Politics and Immigration Policy', 'US Politics and Immigration Policy', 'US Politics and Immigration Policy', 'US Politics and Immigration Policy', 'US Politics and Immigration Policy', 'US Politics and Immigration Policy']",february,10,"[62, 72, 76, 87, 155, 167, 177, 206, 221, 227]","{'US Politics and Immigration Policy': 'ban, trump, muslim, bannon, white, security, house, call, lie, attack, terrorism, head, general, miller, travel, trumps, white_house'}"
3,6,Donald Trump and His Policies,"['Donald Trump and His Policies', 'Donald Trump and His Policies', 'Donald Trump and His Policies', 'Donald Trump and His Policies', 'Trump Administration and Political Figures', 'Donald Trump and His Policies']",february,6,"[40, 68, 107, 136, 162, 171]","{'Donald Trump and His Policies': 'usa, trump, donaldtrump', 'Trump Administration and Political Figures': 'trump, bannon, white, house, call, lie, attack, head, general, miller, maga, americafirst, donaldtrump, usa, tcot, support'}"
10,5,US Immigration and Travel Policies,"['US Immigration and Travel Policies', 'US Immigration and Travel Policies', 'US Immigration and Travel Policies', 'US Immigration and Travel Policies', 'US Immigration and Travel Policies']",february,5,"[40, 68, 107, 136, 171]","{'US Immigration and Travel Policies': 'muslimban, travelban, immigrationban, buildthewall, americafirst'}"
13,5,US Immigration Policy and Controversy,"['US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy']",february,5,"[30, 98, 108, 126, 164]","{'US Immigration Policy and Controversy': 'ban, trump, muslim, bannon, white, security, house, call, lie, attack, terrorism, head, general, miller, muslimban, nobannowall, refugee, refugeeswelcome, protest, congress'}"
