cluster_id,cluster_size,representative_theme,themes,month,total_community,community_list,theme_keywords
6,33,Travel and Immigration Restrictions,"['Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions', 'Travel and Immigration Restrictions']",january,33,"[18, 22, 33, 36, 42, 46, 51, 54, 57, 59, 65, 66, 71, 74, 76, 80, 81, 82, 91, 92, 94, 95, 97, 100, 103, 105, 117, 120, 121, 123, 124, 126, 127]","{'Travel and Immigration Restrictions': 'muslimban, nobannowall, studentban, notbanstudentvisa, student, muslim, people, iranian, letthemin, trump, ban, executive_order, protest, refugee'}"
12,28,US Immigration Policy and Controversy,"['US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy']",january,37,"[16, 17, 19, 20, 23, 27, 29, 38, 43, 45, 49, 60, 62, 64, 67, 68, 69, 73, 77, 78, 84, 85, 88, 89, 99, 102, 110, 111, 113, 114, 115, 116, 118, 119, 122, 129, 130]","{'US Immigration Policy and Controversy': 'ban, trump, travel, immigration, trumps, president, order, protest, muslim, defend, donald, executive_order'}"
7,24,US Immigration Policy and Protests,"['US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policies and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests', 'US Immigration Policy and Protests']",january,24,"[13, 25, 26, 32, 35, 41, 44, 47, 48, 53, 55, 56, 58, 70, 79, 83, 90, 93, 96, 98, 101, 104, 107, 108]","{'US Immigration Policy and Protests': 'muslimban, maga, trump, refugee, nobannowall, muslim, ban, executive_order, protest, iranian', 'US Immigration Policies and Protests': 'muslimban, nobannowall, studentban, notbanstudentvisa, student, muslim, people, iranian, letthemin, trump, immigration, ban, order, march_york, aclu_receive'}"
1,23,Public Reaction to Government Actions,"['Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions']",january,37,"[16, 17, 19, 20, 23, 27, 29, 38, 43, 45, 49, 60, 62, 64, 67, 68, 69, 73, 77, 78, 84, 85, 88, 89, 99, 102, 110, 111, 113, 114, 115, 116, 118, 119, 122, 129, 130]","{'Public Reaction to Government Actions': 'protest, defend, fire'}"
2,14,Public Reaction to Government Actions,"['Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions', 'Public Reaction to Government Actions']",january,37,"[16, 17, 19, 20, 23, 27, 29, 38, 43, 45, 49, 60, 62, 64, 67, 68, 69, 73, 77, 78, 84, 85, 88, 89, 99, 102, 110, 111, 113, 114, 115, 116, 118, 119, 122, 129, 130]","{'Public Reaction to Government Actions': 'protest, defend, fire'}"
8,9,Social and Political Impact,"['Social and Political Impact', 'Social and Political Impact', 'Social and Political Impact', 'Social and Political Impact', 'Social and Political Impact', 'Social and Political Impact', 'Social and Political Impact', 'Social and Political Impact', 'Social and Political Impact']",january,9,"[13, 32, 35, 44, 58, 79, 98, 107, 108]","{'Social and Political Impact': 'worth, people, student'}"
11,9,US Immigration Policy and Controversy,"['US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy', 'US Immigration Policy and Controversy']",january,37,"[16, 17, 19, 20, 23, 27, 29, 38, 43, 45, 49, 60, 62, 64, 67, 68, 69, 73, 77, 78, 84, 85, 88, 89, 99, 102, 110, 111, 113, 114, 115, 116, 118, 119, 122, 129, 130]","{'US Immigration Policy and Controversy': 'ban, trump, travel, immigration, trumps, president, order, protest, muslim, defend, donald, executive_order'}"
10,8,US Immigration Policy,"['US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy']",january,8,"[2, 8, 9, 24, 34, 63, 75, 109]","{'US Immigration Policy': 'ban, immigration, travel, muslim, executive_order'}"
9,5,Media and Communication,"['Media and Political Influence', 'Media and News Coverage', 'Media and Communication', 'Media and News Coverage', 'Media and Communication']",january,5,"[18, 24, 31, 109, 112]","{'Media and Political Influence': 'foxnew_breitbart, maga_vet, breitbart', 'Media and News Coverage': 'cnn, big', 'Media and Communication': 'podcast'}"
5,4,Political Opposition to Trump Administration,"['Political Opposition', 'Political Opposition to Trump Administration', 'Political Resistance and Opposition', 'Political Opposition to Trump Administration']",january,4,"[8, 31, 86, 112]","{'Political Opposition': 'not, resist, trumpleak, podcast', 'Political Opposition to Trump Administration': 'muslimban, resist, trumpleak, theresistance, impeachtrump', 'Political Resistance and Opposition': 'resist, theresistance, impeachtrump, fire'}"
