cluster_id,cluster_size,representative_theme,themes,month,total_community,community_list,theme_keywords
14,23,Travel Ban and Legal Challenges,"['Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges']",march,39,"[0, 6, 26, 28, 31, 32, 33, 34, 38, 41, 43, 46, 47, 49, 50, 54, 55, 58, 60, 62, 64, 67, 69, 74, 77, 78, 79, 80, 81, 83, 85, 92, 93, 94, 95, 97, 99, 106, 109]","{'Travel Ban and Legal Challenges': 'ban, travel, trump, order, judge, revise, hawaii, trumps, block, president, immigration, executive_order, federal_judge, executive'}"
15,16,Travel Ban and Legal Challenges,"['Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges', 'Travel Ban and Legal Challenges']",march,39,"[0, 6, 26, 28, 31, 32, 33, 34, 38, 41, 43, 46, 47, 49, 50, 54, 55, 58, 60, 62, 64, 67, 69, 74, 77, 78, 79, 80, 81, 83, 85, 92, 93, 94, 95, 97, 99, 106, 109]","{'Travel Ban and Legal Challenges': 'ban, travel, trump, order, judge, revise, hawaii, trumps, block, president, immigration, executive_order, federal_judge, executive'}"
13,12,US Immigration Policy Controversy,"['US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy', 'US Immigration Policy', 'US Immigration Policy Controversy', 'US Immigration Policy and Legal Challenges', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy', 'US Immigration Policy Controversy']",march,12,"[5, 14, 29, 48, 51, 65, 90, 100, 101, 104, 107, 111]","{'US Immigration Policy Controversy': 'ban, travel, trump, order, judge, revise, hawaii, trumps, block, president, immigration, muslim', 'US Immigration Policy': 'muslimban, trump, iranian', 'US Immigration Policy and Legal Challenges': 'ban, travel, trump, order, judge, revise, hawaii, trumps, block, president, immigration, travelban, muslimban'}"
16,10,Travel Ban Controversy,"['Travel Ban Controversy', 'Travel Ban Controversy', 'Travel Ban Controversy', 'Travel Ban Controversy', 'Travel Ban Controversy', 'Travel Ban Controversy', 'Travel Ban Controversy', 'Travel Ban Controversy', 'Travel Ban Controversy', 'Travel Ban Controversy']",march,10,"[3, 16, 20, 23, 40, 57, 72, 86, 98, 105]","{'Travel Ban Controversy': 'ban, travel, trump, order, judge, revise, hawaii, trumps, block, president, immigration, muslimban'}"
0,9,Media and Communication,"['Media and Economic Concerns', 'Media and Communication', 'Media and Communication', 'Media and Economic Concerns', 'Media and Public Discourse', 'Media and Public Discourse', 'Media and Finance', 'Media and Propaganda', 'Media and Finance']",march,9,"[30, 37, 51, 76, 84, 87, 89, 91, 105]","{'Media and Economic Concerns': 'radio_live, stock_money', 'Media and Communication': 'rte', 'Media and Public Discourse': 'radio_live', 'Media and Finance': 'radio_live, stock_money', 'Media and Propaganda': 'rte, bbc, propaganda'}"
3,6,US Immigration Policy and Islamophobia,"['US Immigration Policy and Islamophobia', 'US Immigration Policy and Islamophobia', 'US Immigration Policy and Islamophobia', 'Immigration and Islamophobia', 'US Immigration Policy and Islamophobia', 'US Immigration Policy and Islamophobia']",march,6,"[18, 56, 59, 68, 108, 110]","{'US Immigration Policy and Islamophobia': 'muslimban, muslim, ban, travelban, maga, trump, country, travel, judge, offend, leave, obama, america, refugeeswelcome, tcot, pvv, islam, stopislamofobia, bordersclose', 'Immigration and Islamophobia': 'muslimban, travelban, refugeeswelcome, stopislamofobia, bordersclose, islam'}"
17,5,US Travel Ban Controversy,"['US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy', 'US Travel Ban Controversy']",march,5,"[27, 42, 52, 61, 63]","{'US Travel Ban Controversy': 'muslimban, travelban, ban, muslim, country, travel, judge, offend, leave, america'}"
10,5,Political and Social Movements,"['Political and Social Movements', 'Political and Social Movements', 'Political and Social Movements', 'Political Figures and Movements', 'Political Figures and Movements']",march,5,"[45, 70, 71, 84, 87]","{'Political and Social Movements': 'fightfear, prouracisme, maga, tcot, pvv', 'Political Figures and Movements': 'maga, trump, obama, america, theresistance, resist, trumprussia'}"
5,4,Immigration and Refugee Issues,"['Immigration and Refugee Issues', 'Immigration and Refugee Issues', 'Immigration and Refugee Issues', 'Immigration and Refugee Advocacy']",march,4,"[45, 70, 71, 102]","{'Immigration and Refugee Issues': 'refugeeswelcome, refugee, immigration, immigrant', 'Immigration and Refugee Advocacy': 'refugeeswelcome, refugee, immigration, immigrant, immigration_inmigracion, sign_petition'}"
2,4,Crime and Migration,"['Crime and Migration', 'Crime and Migration', 'Crime and Migration', 'Concerns about Crime and Immigration']",march,4,"[45, 70, 71, 102]","{'Crime and Migration': 'migrantenkriminalitat', 'Concerns about Crime and Immigration': 'migrantenkriminalitat'}"
